Successfully parsed the settings file at "config.json".
Successfully opened the library file at "../../../../../../library.json".
Successfully read the library with name "NANG45".
Successfully found buffer cell with name "buf".
Successfully parsed 34 cells from the library.
"circuit"...done
Successfully matched 0 fresh mask signals [].
Evaluate the circuit under the robust probing model!
3210 different spots to probe detected!
Generate univariate probing sets...9630 probing sets generated...done!
-------------------------------------------------------------------------------------------------------------------------------------
| #Standard Probes | #Extended Probes | #Probing Sets | Minimum #Probes per Set | Maximum #Probes per Set | Average #Probes per Set |
-------------------------------------------------------------------------------------------------------------------------------------
|             9630 |              993 |          9630 |                       1 |                     240 |               41.021807 |
-------------------------------------------------------------------------------------------------------------------------------------

Evaluate security under the robust probing model!
----------------------------------------------------------------------------------------------------------------------------------------
|      Elapsed Time |      Required Ram |  Processed Simulations | Probing Set with highest Information Leakage |  -log10(p) |  Status |
----------------------------------------------------------------------------------------------------------------------------------------
|      6630.966251s |        7.446512GB |               69000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.307482 |    OKAY |
|      6724.272554s |        7.446512GB |               70000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.258789 |    OKAY |
|      6818.672610s |        7.446512GB |               71000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   2.981455 |    OKAY |
|      6911.865066s |        7.446512GB |               72000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   2.993177 |    OKAY |
|      7004.524928s |        7.446512GB |               73000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   2.927996 |    OKAY |
|      7097.219166s |        7.446512GB |               74000000 |                     [top_AND_M49_U1_t[7](1)] |   2.810693 |    OKAY |
|      7190.272221s |        7.446512GB |               75000000 |  [top_AND_M1_U1_OperationInst_orInst1_n1(2)] |   3.048127 |    OKAY |
|      7285.439627s |        7.446512GB |               76000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.026454 |    OKAY |
|      7378.226338s |        7.446512GB |               77000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.116643 |    OKAY |
|      7475.020621s |        7.446512GB |               78000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.235844 |    OKAY |
|      7567.787989s |        7.446512GB |               79000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.235274 |    OKAY |
|      7660.618292s |        7.446512GB |               80000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.409349 |    OKAY |
|      7753.531620s |        7.446512GB |               81000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.589671 |    OKAY |
|      7848.253921s |        7.446512GB |               82000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.415041 |    OKAY |
|      7940.174294s |        7.446512GB |               83000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.369491 |    OKAY |
|      8031.916960s |        7.446512GB |               84000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.397031 |    OKAY |
|      8123.765627s |        7.446512GB |               85000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.213861 |    OKAY |
|      8215.417148s |        7.446512GB |               86000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.246270 |    OKAY |
|      8307.282165s |        7.446512GB |               87000000 |              [top_XOR_L15_U1_xorInst_n10(2)] |   3.411084 |    OKAY |
|      8399.050686s |        7.446512GB |               88000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.307836 |    OKAY |
|      8490.865913s |        7.446512GB |               89000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.322233 |    OKAY |
|      8587.207457s |        7.446512GB |               90000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   3.153255 |    OKAY |
|      8679.037301s |        7.446512GB |               91000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   2.783210 |    OKAY |
|      8770.998361s |        7.446512GB |               92000000 |              [top_XOR_L21_U1_xorInst_n10(2)] |   2.756676 |    OKAY |
|      8862.911851s |        7.446512GB |               93000000 |                     [top_AND_M49_U1_t[7](1)] |   2.869023 |    OKAY |
|      8954.675148s |        7.446512GB |               94000000 |                     [top_AND_M49_U1_t[7](1)] |   2.677169 |    OKAY |
|      9046.669173s |        7.446512GB |               95000000 |                     [top_AND_M49_U1_t[7](1)] |   2.706469 |    OKAY |
|      9138.660405s |        7.446512GB |               96000000 |  [top_AND_M1_U1_OperationInst_orInst1_n1(2)] |   2.718969 |    OKAY |
|      9230.550500s |        7.446512GB |               97000000 |              [top_XOR_L15_U1_xorInst_n10(2)] |   2.825709 |    OKAY |
|      9322.609764s |        7.446512GB |               98000000 |              [top_XOR_L15_U1_xorInst_n10(2)] |   2.716853 |    OKAY |
|      9414.583011s |        7.446512GB |               99000000 |  [top_AND_M1_U1_OperationInst_orInst1_n1(2)] |   2.906170 |    OKAY |
|      9508.042671s |        7.446512GB |              100000000 |  [top_AND_M1_U1_OperationInst_orInst1_n1(2)] |   2.818886 |    OKAY |
Evaluation done in 9508.04 seconds!
